group,eta_decimal,Y,radial_degree,Phi,U,p1,Sq_margin,angular_relative,axial_relative,pressure_relative
chi,-0.0051555551664089307725335434309941888645473123500943014826238596921684064447182296,2,18,0.5770691013813415,-0.0006222206656357231,1.222091041366154,4.6889680452991024e+38,1.0931407824254481e-33,5.506678782428996e-82,3.315320254832038e-24
chi,-0.0051555551664089307725335434309941888645473123500943014826238596921684064447182296,3,18,0.4161636065482489,-0.0006222206656357231,2.1074493387965814,4.6889680452991024e+38,2.2401777664223495e-30,2.5700388543605964e-82,9.375536322291017e-21
chi,-0.0051555551664089307725335434309941888645473123500943014826238596921684064447182296,4,18,0.28344801161561545,-0.0006222206656357231,3.3829377402940453,4.6889680452991024e+38,5.834053740350302e-28,1.0505261182890969e-82,3.567660826762078e-18
chi,-0.0051555551664089307725335434309941888645473123500943014826238596921684064447182296,4.1,18,0.2715840238744627,-0.0006222206656357231,3.545427618146841,4.6889680452991024e+38,9.496623018931358e-28,3.9147642294974267e-82,6.058189641449062e-18
chi,-0.0047999949285510029784260746910491804060472835958301631330206816559807948858470684,0,18,1.0,0.0008000202857959881,0.0,4.6752842386507456e+38,2.003613109598195e-82,3.553573076189776e-82,0.0
chi,-0.0047999949285510029784260746910491804060472835958301631330206816559807948858470684,1,18,0.7708073418495583,0.0008000202857959881,0.5453356528843141,4.6752842386507456e+38,2.961908150994231e-39,5.138311144347608e-82,6.757980474354085e-30
chi,-0.0047999949285510029784260746910491804060472835958301631330206816559807948858470684,2,18,0.5780986867836329,0.0008000202857959881,1.217650777329353,4.6752842386507456e+38,1.0352741463580827e-33,1.1077949924936111e-82,3.134316687413377e-24
chi,-0.0047999949285510029784260746910491804060472835958301631330206816559807948858470684,3,18,0.4174444235600417,0.0008000202857959881,2.098386727908009,4.6752842386507456e+38,2.1188555512115405e-30,1.9380671006385972e-82,8.840946610873089e-21
chi,-0.0047999949285510029784260746910491804060472835958301631330206816559807948858470684,4,18,0.28484884310068914,0.0008000202857959881,3.3645036028981927,4.6752842386507456e+38,5.507858994736273e-28,3.975844296934993e-82,3.3518090253157525e-18
chi,-0.0047999949285510029784260746910491804060472835958301631330206816559807948858470684,4.1,18,0.2729907442067964,0.0008000202857959881,3.5255414965859644,4.6752842386507456e+38,8.963526937575507e-28,4.707314998098036e-83,5.688972733836459e-18
chi,-0.004666659839354280055635773913569802234109772812981111251919489892410440551270383,0,18,1.0,0.0013333606425828797,0.0,4.647076248456011e+38,1.1799258975131557e-81,5.92028374361686e-82,6.226637744968213e-82
chi,-0.004666659839354280055635773913569802234109772812981111251919489892410440551270383,1,18,0.7720760772092792,0.0013333606425828797,0.5417210577986448,4.647076248456011e+38,2.6518524442620606e-39,1.1031968909447217e-81,6.0407818614492104e-30
chi,-0.004666659839354280055635773913569802234109772812981111251919489892410440551270383,2,18,0.5802245513442,0.0013333606425828797,1.2085193244285102,4.647076248456011e+38,9.250245772200253e-34,1.1614620762579996e-81,2.7904353875371883e-24
chi,-0.004666659839354280055635773913569802234109772812981111251919489892410440551270383,3,18,0.4200915384164665,0.0013333606425828797,2.07979374986499,4.647076248456011e+38,1.8882004734796006e-30,1.4480790786252333e-81,7.829572815362567e-21
chi,-0.004666659839354280055635773913569802234109772812981111251919489892410440551270383,4,18,0.28774710888839533,0.0013333606425828797,3.3268413193732713,4.647076248456011e+38,4.889656223682652e-28,6.005376013989949e-82,2.94597119620858e-18
chi,-0.004666659839354280055635773913569802234109772812981111251919489892410440551270383,4.1,18,0.27590153068063655,0.0013333606425828797,3.484936184447363,4.647076248456011e+38,7.953618615137357e-28,1.3322238786363212e-81,4.995338937999021e-18
chi,-0.0045333247501575571328454731360904240621722620301320593708182981288400862166936976,0,18,1.0,0.0018667009993697714,0.0,4.417455812283253e+38,7.455829058298762e-82,3.881529412945466e-83,0.0
chi,-0.0045333247501575571328454731360904240621722620301320593708182981288400862166936976,1,18,0.7824533992722126,0.0018667009993697714,0.512463844257195,4.417455812283253e+38,1.0510283974055967e-39,5.1913745920673663e-82,2.362997716308576e-30
