eta,Y,X,Phi,U,Pi,F_decimal,pressure_increment_decimal,log10_F,V0_over_X,angular_relative,axial_relative,pressure_relative
-0.6,3.2116666666666664,0.006272786458333333,0.36786771077989366,-2.789095966680876,-54.06574394463668,3.495608767567864946558759e-142,2.634608870761857722708176e-285,-141.4564771800406,-0.5670347860000726,6.161486407299298e-28,1.2501860897886432e-40,9.119236232884524e-25
-0.6,3.28,0.00640625,0.3577877926335107,-2.7977580956324863,-54.06574394463668,3.39982582925517041345713e-142,2.650473428773865836392265e-285,-141.46854333099623,-0.5550294980900774,1.0046951140134112e-27,1.9866326029196813e-40,1.7762508137529927e-24
-0.6,3.348333333333333,0.006539713541666666,0.3478373302795334,-2.806418397017621,-54.06574394463668,3.305273025552513620965087e-142,2.665474260064654415864444e-285,-141.48079266065838,-0.5430249433458856,1.623387887085127e-27,3.1268937760902913e-40,3.3646456141397294e-24
-0.6,3.4166666666666665,0.006673177083333333,0.33801560514144874,-2.8150768662096217,-54.06574394463668,3.211943528292361731981478e-142,2.679646208034260255451075e-285,-141.49323209899939,-0.5310211278761159,2.600303795192743e-27,4.876732981565703e-40,6.2280864545080596e-24
-0.6,3.485,0.006806640625,0.32832189554631364,-2.8237334985833966,-54.06574394463668,3.119830479883811338723941e-142,2.693023135439661590391261e-285,-141.50586900330563,-0.5190180577900901,4.130519640787819e-27,7.539156408751826e-40,1.1304268030925748e-23
-0.6,3.5533333333333332,0.0069401041666666665,0.31875547679854344,-2.832388289515427,-54.06574394463668,3.028926994013751660347215e-142,2.705637942891781848367538e-285,-141.51871119430632,-0.5070157391978275,6.50909222211457e-27,1.1556941638939561e-39,2.0170532263951903e-23
-0.6,3.6216666666666666,0.007073567708333333,0.3093156212535295,-2.8410412343837725,-54.06574394463668,2.939226156346407417697355e-142,2.717522587170917017258687e-285,-141.53176699620894,-0.495014178210038,1.0179340249555128e-26,1.7572334270268843e-39,3.545220417311232e-23
-0.6,3.69,0.00720703125,0.30000159839108165,-2.8496923285680764,-54.06574394463668,2.850721025221211416486365e-142,2.728708099359428320749989e-285,-141.54504528115953,-0.48301338093811746,1.5803138826953486e-26,2.651029066500921e-39,6.147669154506805e-23
-0.6,3.7583333333333333,0.007340494791666667,0.29081267488868834,-2.858341567449572,-54.06574394463668,2.763404632348950399141982e-142,2.739224602790610611223388e-285,-141.55855551872804,-0.47101335349414103,2.4362731059566397e-26,3.969381806989189e-39,1.0531380151110491e-22
-0.6,3.826666666666666,0.0074739583333333325,0.2817481146945905,-2.866988946411087,-54.06574394463668,2.67726998350613873367631e-142,2.749101330812712594898258e-285,-141.57230783111612,-0.45901410199085785,3.730746682399448e-26,5.9002812943881e-39,1.7841952270721649e-22
